x,y,li,a_c,fe,co,x_c,cs,la,ni,nb,h_c,b_c,rb,ca,sr,c_c,plan_curvature,profile_curvature,saga_wetness_index,catchment_area,relative_slope_position,channel_network_distance,elevation
463439.913,5622824.127,13.20557975769043,3.470757007598877,1.7271336317062378,7.5186614990234375,0.4743330180644989,0.736952006816864,18.59667205810547,26.690940856933594,0.5132595300674438,1.2102750539779663,9.40123462677002,18.840269088745117,2.574371337890625,53.056365966796875,10.063178062438965,1.2035775580443442e-4,2.009165909839794e-4,8.849238395690918,55.51648712158203,0.9548179507255554,0.10796196013689041,310.3224792480469
463449.913,5622824.127,13.311036109924316,3.4659042358398438,1.7370280027389526,7.54555082321167,0.4744584858417511,0.7496935725212097,18.627843856811523,26.895214080810547,0.5148046612739563,1.211687684059143,9.421802520751953,18.65334129333496,2.6821186542510986,53.25206756591797,10.079690933227539,-8.480846736347303e-5,-1.0160884994547814e-4,8.963834762573242,83.425018310546875,0.8583266735076904,0.09150705486536026,310.27911376953125
463459.913,5622824.127,13.449639320373535,3.458695411682129,1.7542493343353271,7.59982967376709,0.47460928559303284,0.766642153263092,18.648969650268555,27.12491226196289,0.5170770883560181,1.2135896682739258,9.441283226013184,18.41510581970215,2.7868027687072754,53.89440155029297,10.093546867370605,-2.4249566195067018e-4,-7.310681394301355e-5,9.073622703552246,110.13373565673828,0.8348267078399658,0.08899246156215668,310.252685546875
463469.913,5622824.127,13.608816146850586,3.4461073875427246,1.7735462188720703,7.669319152832031,0.4747680425643921,0.7849619388580322,18.6594181060791,27.359827041625977,0.5198237299919128,1.2156858444213867,9.457271575927734,18.13503646850586,2.8971309661865234,55.06847381591797,10.103386878967285,9.469303768128157e-5,2.744484809227288e-4,9.28957462310791,18.152082443237305,0.9642503261566162,0.11012133210897446,310.25323486328125
463479.913,5622824.127,13.784660339355469,3.4371449947357178,1.7927262783050537,7.751057147979736,0.47492364048957825,0.8021639585494995,18.663307189941406,27.61673927307129,0.5225167870521545,1.2179994583129883,9.473661422729492,17.835819244384766,3.0173816680908203,56.8049430847168,10.113750457763672,1.434427103959024e-4,4.692173970397562e-4,9.257017135620117,10.223687171936035,0.988172173500061,0.12303195148706436,310.245849609375
463489.913,5622824.127,13.96400260925293,3.4296364784240723,1.8108725547790527,7.84169340133667,0.4750943183898926,0.8181372880935669,18.657699584960938,27.896562576293945,0.5252708792686462,1.2205010652542114,9.491976737976074,17.522850036621094,3.1435906887054443,59.10707092285156,10.126321792602539,4.257959153619595e-5,-1.6600250091869384e-4,8.951661109924316,11.424100875854492,0.9611403346061707,0.10529475659132004,310.2078857421875
463499.913,5622824.127,14.140066146850586,3.422538995742798,1.8276088237762451,7.9402546882629395,0.4752783179283142,0.8315533995628357,18.6415958404541,28.196779251098633,0.5278209447860718,1.2231943607330322,9.512630462646484,17.197834014892578,3.2767016887664795,62.004676818847656,10.142020225524902,1.3023204519413412e-4,1.7006989219225943e-4,9.1967010498046875,15.39741039276123,0.9828500747680664,0.09192685037851334,310.1764221191406
463509.913,5622824.127,14.307332038879395,3.4164721965789795,1.8425891399383545,8.045544624328613,0.4754706919193268,0.8412567973136902,18.61427116394043,28.5145206451416,0.5300297737121582,1.2260668277740479,9.534612655639648,16.862625122070312,3.4178335666656494,65.4585952758789,10.160198211669922,2.1269147691782564e-4,3.285350976511836e-4,9.249186515808105,22.726362228393555,0.896554708480835,0.06648824363946915,310.1441650390625
463519.913,5622824.127,14.45599365234375,3.4117836952209473,1.8558549880981445,8.158053398132324,0.47566020488739014,0.8454163074493408,18.575355529785156,28.847702026367188,0.5316758751869202,1.2289382219314575,9.554863929748535,16.521745681762695,3.568514108657837,69.4767074584961,10.178017616271973,-2.908755268435925e-4,-2.2059163893572986e-4,9.27886962890625,81.1061019897461,0.4037453532218933,0.020838018506765366,310.09613037109375
463529.913,5622824.127,14.579522132873535,3.4088003635406494,1.8676964044570923,8.281046867370605,0.4758504033088684,0.8424655199050903,18.525543212890625,29.201940536499023,0.5328884124755859,1.231296420097351,9.56615161895752,16.194374084472656,3.7316179275512695,73.98217010498047,10.188286781311035,8.531731873517856e-5,-1.0679115075618029e-4,9.307574272155762,59.40224838256836,0.47868800163269043,0.028320759534835815,310.0762939453125
